Project Key,Project Name,Story Key,Status,Priority,Created,Summary
ET,BitCode Team,ET-14030,Finalizada,Highest,2023-10-23T15:39:07.177-0600,Migrar a JAVA 17 MS REPORT
ET,BitCode Team,ET-14029,Finalizada,Highest,2023-10-23T15:39:01.089-0600,Migrar a JAVA 17 MS AUDIT
ET,BitCode Team,ET-14028,Finalizada,Highest,2023-10-23T15:22:30.570-0600,Crear MS Api GATEWAY
ADI,Investor,ADI-8977,Finalizada,Highest,2023-10-23T15:14:14.885-0600,Ajuste en registro de inversiones de Fondos cerrados
ET,BitCode Team,ET-14024,Finalizada,Highest,2023-10-23T12:07:40.611-0600,MS Reconciliation: Pase a produccion
ET,BitCode Team,ET-14022,Finalizada,Highest,2023-10-23T12:07:27.349-0600,PU MS Reconciliation: Supervision y validacion de respuesta en carpeta de salida del servicio AS400
ET,BitCode Team,ET-14021,Finalizada,Highest,2023-10-23T12:07:18.154-0600,MS Reconciliation: Supervision y validacion de respuesta en carpeta de salida del servicio AS400
ET,BitCode Team,ET-14020,Finalizada,Highest,2023-10-23T12:07:09.008-0600,PU MS Reconciliation: Envio por GoAnyWhere del archivo JSON
ET,BitCode Team,ET-14019,Finalizada,Highest,2023-10-23T12:07:02.140-0600,MS Reconciliation: Envio por GoAnyWhere del archivo JSON
ET,BitCode Team,ET-14017,Finalizada,Highest,2023-10-23T12:06:44.676-0600,PU MS Reconciliation: Generar el archivo Json segun las plantillas de servicio AS400
ET,BitCode Team,ET-14016,Finalizada,Highest,2023-10-23T12:06:36.187-0600,MS Reconciliation: Generar el archivo Json segun las plantillas de servicio AS400
ET,BitCode Team,ET-14012,Finalizada,Highest,2023-10-23T12:05:17.011-0600,"PU MS Reconciliation: Endpoint generador de combinaciones de cuenta entre afiliados, corresponsales y cuentas posicion segun el tipo de moneda"
ET,BitCode Team,ET-14008,Finalizada,Highest,2023-10-23T12:03:52.169-0600,PU MS Reconciliation: Endpoint para PDF de comprobante de transferencia
ET,BitCode Team,ET-14007,Finalizada,Highest,2023-10-23T12:03:41.046-0600,MS Reconciliation: Endpoint para PDF de comprobante de transferencia
ET,BitCode Team,ET-14006,Finalizada,Highest,2023-10-23T12:03:32.791-0600,PU MS Reconciliation: Endpoint para consulta de comprobante de transferencia
